zts1e	Nouveau objet
zts82e	Met cuir de boeuf sur 'Arc du vent 'pour avoir poignée confortable. [n] Fait des dégâts crucials [n][n]
zts83e	Arc de chasse
zts84e	Arc de chasse typique avec une haute durabilité. [n] Bon pour la chasse aux animaux sauvages [n][n]
zts85e	Arc du courage
zts86e	Cette arme est parfaite pour les archers courageux.[n]L'ajout de l'élément Feu augmente les dégâts.[n][n]
zts87e	Arc long
zts88e	Possède un arc long.
zts89e	Arc en bronze
zts90e	Cet arc a été conçu avec des plaques en bronze pour augmenter la force de défense.[n][n]
zts91e	Arc de l'esprit
zts92e	Un arc renforcé par le puissance de l'esprit qui améliore tous les éléments.[n][n]
zts93e	Baguette magique amateur
zts94e	Donné à tous sorciers débutants [n] Aventurier ne peut pas le mettre [n][n]
zts95e	Baguette magique à perle rouge
zts96e	Cette baguette magique sobre est surmontée d'une grosse perle rouge.[n][n]
zts97e	Baguette magique d'esprit
zts98e	Le pouvoir mystérieux de la perle bleue exalte la force magique de cette baguette afin d'augmenter tes MP.[n][n]
zts99e	Baguette magique à rubis
zts100e	Cette baguette magique est très prisée des jeunes mages pour son gros rubis.[n][n]
zts101e	Baguette magique enchantée
zts102e	Pose de la poudre mystérieuse sur la perle bleue 'Boule des Esprit' [n][n]
zts103e	Baguette magique à perle bleue
zts104e	La pointe de cette baguette magique est décorée d'une perle bleue.[n][n]
zts105e	Baguette magique de la Lumière
zts106e	Une mystérieuse lumière enveloppe cette arme et renforce ton attaque, tout en améliorant ta régénération.[n][n]
zts107e	Baguette magique à opale
zts108e	Ornée d'opales, cette baguette magique a un aspect incomparable.[n][n]
zts109e	Baguette magique créatrice de mana
zts110e	Tes réserves et ta régénération de MP augmentent.[n][n]
zts111e	Baguette magique à corail
zts112e	Décorée avec un corail qui vient des grands fonds de l'océan
zts113e	Baguette magique de l'honneur
zts114e	Seuls les mages vénérables sont autorisées d'utiliser cette baguette magique contre les forces du mal.
zts115e	Baguette magique à cristal
zts116e	Décorée avec un cristal luxueux.[n]
zts117e	Baguette magique de l'intelligence
zts118e	Cet objet purifie l'âme de son propriétaire grâce à la force des éléments, augmentant ainsi ses MP et HP.[n][n]
zts119e	Baguette magique de l'Obscurité
zts120e	Possédée par des pouvoirs obscurs, cette baguette magique peut avoir des conséquences désastreuses pour tes adversaires.[n][n]
zts121e	Gants en cuir
zts122e	Ces gants en cuir souple augmentent la force d'attaque à distance.[n][n]
zts123e	Gants durables
zts124e	Empêche l'arme de glisser vers le bas. [n] Augmente le pouvoir d'attaque rapprochée. [n][n]
zts125e	Chaussures d'Aventurier
zts126e	Cet objet est réservé aux Aventuriers.[n][n]
zts127e	Chaussures à talons hauts
zts128e	Fabriqué avec la bonne machine [n][n]
zts129e	Chaussures en cuir
zts130e	Fabriqué de cuir [n][n]
zts131e	Patin à roulettes
zts132e	Cet objet te permet de filer à toute vitesse.[n]À l'origine, il était prévu pour danser.[n][n]
zts133e	Épée de maître
zts134e	Utilisé pour aventurier avancés [n][n]
zts135e	Catapulte du maître
zts136e	Les aventuriers expérimentés utilisent cette arme une fois leur apprentissage terminé.[n][n]
zts137e	Arbalète d'amateur
zts138e	C'est une arme secondaire pour les apprentis Épéistes.[n][n]
zts139e	Arbalète en bois de chêne
zts140e	Fait en bois de chêne. [n][n]
zts141e	Arbalète féérique
zts142e	C'est l'arbalète du gardien de la forêt. Elle garantit une précision élevée.[n][n]
zts143e	Gants fins
zts144e	Trop léger pour être efficacement utilisé
zts145e	Gants en caoutchouc
zts146e	Ce sont des gants imprégnés.[n]Ils permettent de porter facilement des choses lourdes.[n][n]
zts147e	Arbalète d'acier
zts148e	C'est une arbalète en acier lourde qui augmente la force d'attaque.[n][n]
zts149e	Arbalète chef-d'oeuvre
zts150e	Chef-d'oeuvre luxueux[n] Est bien équilibré[n][n]
zts151e	Arbalète de l'Obscurité
zts152e	Arbalète ordinaire avec une poignée confortable. [n][n]
zts153e	Arbalète en hêtre
zts154e	La fabrication à partir de bois de hêtre accélère le chargement de cette arme.[n][n]
zts155e	Arbalète du courage
zts156e	Les esprits des nobles Épéistes, qui brandissaient jadis cette arme, augmentent le moral de son propriétaire.[n][n]
zts157e	Petite dague
zts158e	Seconde arme pour archers débutants [n][n]
zts159e	Dague
zts160e	Cette dague anodine est en acier.[n][n]
zts161e	Dague de Torture
zts162e	Devient plus fort dans des situations difficiles. [n] Augmente la probabilité critique [n][n]
zts163e	Dague affinée
zts164e	Dague affinée avec des bijoux mystérieux. [n] Augmente le pouvoir d'attaque. [n][n]
zts165e	Dague chef-d'oeuvre
zts166e	Fabriqué par un maître [n] luxueux et avec un bon équilibre[n][n]
zts167e	Dague en laiton
zts168e	Une dague ordinaire en laiton[n][n]
zts169e	Dague avec décoration de rubis
zts170e	Peut être fier de posséder ceci [n][n]
zts171e	Dague de l'esprit
zts172e	Empreignée de pouvoirs spirituels. [n] Contient quatre sortes d'éléments. [n][n]
zts173e	Arme enchantée d'apprenti
zts174e	Cette arme secondaire est destinée aux apprentis Sorciers.[n][n]
zts175e	Petite arme de charme
zts176e	Petite et pas très puissante. [n][n]
zts177e	Arme de charme magique
zts178e	Utilise de la magie, pas de mauvais pouvoir [n][n]
zts179e	Arme de charme en or
zts180e	Améliore le pouvoir magique. [n] Augmente le pouvoir d'attaque magique. [n][n]
zts181e	Arme de charme chef-d'oeuvre
zts182e	Fabriqué par le maître d'armes de charme. [n] Haute stabilité et crée une attaque fatale [n][n]
zts183e	Arme enchantée en laiton
zts184e	Cette épée en laiton est certes lourde, mais aussi très robuste.[n][n]
zts185e	Arme de charme avec décoration ciselée
zts186e	Décoration ciselée [n] Augmente le pouvoir magique [n][n]
zts187e	Arme enchantée de l'Obscurité
zts188e	Cette arme puissante inflige des dégâts dévastateurs aux adversaires.[n][n]
zts189e	Armure d'apprenti Épéiste
zts190e	Cet objet fait partie de l'équipement basique de tout Épéiste.[n][n]
zts191e	Armature rembourrée
zts192e	Ajoute des couches de tissu. [n] N'a pas un pouvoir de défense très puissant. [n][n]
zts193e	Armure de couette
zts194e	Ajoute des couches de coton [n] Léger et chaud [n][n]
zts195e	Armure en cuir
zts196e	Fabriquée en cuir tanné. [n][n]
zts197e	Armure d'endurance
zts198e	Augmente la force et l'endurance [n][n]
zts199e	Armure en cuir boulonnée
zts200e	Ajout de boulons sur le cuir. [n] N'a pas beaucoup de pouvoir défensif. [n][n]
zts201e	Armure en cuir améliorée
zts202e	Cette armure est faite d'une double couche de cuir tanné[n]pour assurer une force de défense incroyable tout en privilégiant la légèreté.[n][n]
zts203e	Armure d'écailles
zts204e	Cet objet a été fabriqué avec des écailles métalliques.[n][n]
zts205e	Armure du moral
zts206e	Cette armure renforce ton moral.[n][n]
zts207e	Armure de plaques
zts208e	Cette armure est faite de plaques en acier.[n][n]
zts209e	Armure de rivet dorée
zts210e	Joliment décoré avec des rivets dorés [n] lourd mais spécialement bon pour défense contre la magie [n][n]
zts211e	Brigandine
zts212e	Cette armure est faite de plaques d'acier plus denses que celles de l'armure de plaques.[n][n]
zts213e	Armure de brièveté
zts214e	La force d'attaque augmente.[n][n]
zts215e	Tunique pour apprenti Archer
zts216e	Cet objet fait partie de l'équipement basique de tout Archer.[n][n]
zts217e	Tunique en peau d'agneau
zts218e	Fabriquée en peau d'agneau. [n][n]
zts219e	Tunique Veloa
zts220e	Cuir artificiellement enroué et plus confortable à porter [n] Augmente un peu la probabilité de coup fatal de toutes les armes [n][n]
zts221e	Tunique en peau de chèvre
zts222e	Fabriquée en peau de chèvre. [n][n]
zts223e	Tunique d'évasion
zts224e	Cette tenue est si légère et si confortable que tu auras l'impression de ne pas porter d'armure.[n]Grâce à elle, tu es plus rapide et tu peux esquiver les attaques rapprochées plus facilement.[n][n]
zts225e	Tunique en peau de veau
zts226e	Fabriquée en peau de veau. [n][n]
zts227e	Tunique de daim
zts228e	Cuir souple enroué [n] très chaud et confortable. Restaure HP et MP [n][n]
zts229e	Tunique en peau de vache
zts230e	Fabriquée en peau de vache. [n][n]
zts231e	Tunique de vision
zts232e	Avoir large vision pour augmenter le pouvoir d´attaque [n][n]
zts233e	Tunique Peccary
zts234e	Fabriquée en peau de cochon. [n][n]
zts235e	Tunique de Nubuk
zts236e	Trendement nappé sur le cuir de vache. [n] Très fort pour attaque proche [n][n]
zts237e	Tunique de Toscane
zts238e	Cet objet est doublé d'une fourrure douce.[n][n]
zts239e	Tunique de l'âme pure
zts240e	Des esprits te protègent.[n]La force de défense est élevée.[n][n]
zts241e	Robe de l'apprenti sorcier
zts242e	Donnée à tous les apprentis sorciers. [n][n]
zts243e	Robe en coton
zts244e	Fabriquée en coton. [n][n]
zts245e	Robe en coton magique
zts246e	Couvert avec de la poudre magique. [n] Restaure HP [n][n]
zts247e	Robe en lin
zts248e	Robe finement tricotée [n] peut bloquer les attaques lointaines [n][n]
zts249e	Robe de guérison
zts250e	Concentre ton esprit.[n]Cet objet restaure les MP et bloque les attaques rapprochées.[n][n]
zts251e	Robe en tweed
zts252e	Fabriquée avec un fil robuste, [n]elle te protège dans les combats rapprochés et contre le feu. [n][n]
zts253e	Robe en lin améliorée
zts254e	Mixture de coton et de lin pour augmenter la durabilité. [n] Absorbe l´attaque proche [n][n]
zts255e	Robe en mousseline
zts256e	Légére, chaude et élastique. [n][n]
zts257e	Robe élémentaire
zts258e	Augmente la résistance de tous les éléments [n][n]
zts259e	Robe en soie
zts260e	Robe en soie luxurieuse [n][n]
zts261e	Robe à carreaux
zts262e	Ses motifs inhabituels renforcent les effets magiques.[n][n]
zts263e	Robe chevron
zts264e	Tweed aux motifs luxueux. Donne un air intellectuel.[n][n]
zts265e	Robe des ténèbres
zts266e	Ceux qui t'attaquent sont damnés.[n][n]
zts267e	Manteau des vieux aventuriers
zts268e	Populaire chez les vieux aventuriers [n][n]
zts269e	Masque de Kovolt pour administrateurs (GM)
zts270e	Gladiateur
zts271e	Courte épée pour gladiateur [n] A une haute probabilité de coups fatals et augmente le moral [n][n]
zts272e	Épée wallonne
zts273e	Cette épée sobre est faite en acier.[n][n]
zts274e	Épée de viking
zts275e	Ce sabre imprégné d'une énergie obscure est fait pour les Guerriers intrépides.[n][n]
zts276e	Machette
zts277e	Les combattants qui utilisent cette épée contre le mal auront le moral boosté.[n][n]
zts278e	Katzbalger
zts279e	Cet objet augmente les dégâts et la probabilité d'infliger un coup critique.[n][n]
zts280e	Épée de chevalier
zts281e	Épée de chevalier courageux [n] augmente énergie de lumière [n][n]
zts282e	Épée assassine
zts283e	Ses pouvoirs obscurs infligent des dégâts critiques à l'adversaire.[n][n]
zts284e	Arc mince
zts285e	Mince, mais cause dégât crucial [n][n]
zts286e	Arc de flammes
zts287e	Cet arc est doté de l'élément Feu.[n][n]
zts288e	Arc synthétique
zts289e	Construit durable, stable, et crucial [n][n]
zts290e	Arc double
zts291e	Cause dégât différent mais attaque avec énergie de lumière [n][n]
zts292e	Arc féroce
zts293e	Cet objet est imprégné d'une énergie obscure qui rend intrépide.[n][n]
zts294e	Arc large
zts295e	Cause dégât fort [n] mais a relativement basse probabilité de dégât crucial
zts296e	Arc de siège
zts297e	Cette arme augmente les dégâts critiques en faisant entrer en jeu l'élément Feu.[n][n]
zts298e	Baguette magique de la vie
zts299e	L'objet donne un second souffle d'énergie vitale au personnage.[n][n]
zts300e	Baguette magique de flamme
zts301e	Cet objet augmente l'élément Feu, mais diminue l'élément Eau.[n][n]
zts302e	Baguette magique de glace
zts303e	L'énergie de l'Eau concentrée dans cette baguette fait de cette dernière une puissante arme.[n][n]
zts304e	Baguette magique de Loon
zts305e	Utilisation de magie, amplifie le dégât [n][n]
zts306e	Baguette magique
zts307e	Cette baguette magique puise sa force de deux sources d'énergie qui consomment considérablement tes MP.[n][n]
zts308e	Baguette magique sacrée
zts309e	Les pouvoirs sacrés augmentent la résistance contre le mal et accordent des forces hors du commun aux Sorciers qui usent d'une magie pure.[n][n]
zts310e	Baguette magique d'âme
zts311e	Le pouvoir de l'âme protège le détenteur de cette arme.[n][n]
zts312e	Arbalète pour combat
zts313e	Fabriqué pour combat et hautement efficace [n][n]
zts314e	Arbalète de siège
zts315e	Cette arme tire des flèches imprégnées de l'élément Feu.[n][n]
zts316e	Dague de Highlander
zts317e	Dague dangereuse avec haute probabilité de coup crucial [n][n]
zts318e	Dague poignard
zts319e	Cette dague est imprégnée d'une énergie sinistre.[n][n]
zts320e	Arme de charme normale
zts321e	Cette arme magique a une étonnante force d'attaque.[n][n]
zts322e	Arme magique en bronze
zts323e	Cette arme magique dispose de la force de l'élément Eau.[n][n]
zts324e	Armure de sécurité
zts325e	Cette armure est particulièrement robuste.[n][n]
zts326e	Armure de cuir dur
zts327e	Offre une haute protection contre les attaques et protège du feu.[n][n]
zts328e	Armure de gagnant
zts329e	Cet objet peut parer les attaques à distance.[n][n]
zts330e	Armure du gardien
zts331e	Les dégâts provoqués par attaque rapprochée diminuent.[n][n]
zts332e	Armure de chevalier
zts333e	Cette armure de chevalier permet d'esquiver et de bloquer les attaques.[n][n]
zts334e	Armure de pierre
zts335e	Cette armure spéciale peut absorber et bloquer les dégâts.[n][n]
zts336e	Tunique de flash
zts337e	Défense renforcée pour attaques lointaines et magie [n][n]
zts338e	Tunique de nature
zts339e	Cette tunique chargée de l'énergie de la nature augmente les HP et MP.[n][n]
zts340e	Tunique en peau de requin
zts341e	Bloque attaques proches et attaques magiques [n][n]
zts342e	Tunique de haleine
zts343e	Rempli de haleine des morts [n][n]
zts344e	Tunique du vent
zts345e	Cet objet bloque toutes les attaques.[n][n]
zts346e	Tunique de dryade
zts347e	Cet objet renferme des forces élémentaires et de la résistance.[n]La consommation de MP est réduite.[n][n]
zts348e	Robe de débutant
zts349e	Renforce pouvoir de défense proche et lointain [n][n]
zts350e	Robe de douceur
zts351e	Bloque attaques lointaines [n][n]
zts352e	Robe de clarté
zts353e	Bon pour défense proche et résistante contre le feu [n][n]
zts354e	Robe à dessins
zts355e	Cet objet confère une résistance à l'Eau et à la Lumière.[n][n]
zts356e	Tunique magique
zts357e	La consommation de mana diminue pour le joueur qui lance le sort.[n][n]
zts358e	Tunique de la source
zts359e	Toutes les attaquent ont une certaine probabilité d'être bloquées.[n][n]
zts360e	Amulette d'attaque
zts361e	Amulette de défense
zts362e	Amulette d'attaque et de défense
zts363e	Amulette de la force d'attaque
zts364e	Amulette pour augmentation du pouvoir de défense
zts365e	Amulette pour baisse de maladie
zts366e	Amulette pour résistance contre le feu
zts367e	Amulette pour résistance contre la lumière
zts368e	Amulette de résistance à l'Eau
zts369e	Amulette de résistance à l'Obscurité
zts370e	Amulette de toute résistance
zts371e	Amulette de coup crucial
zts372e	Amulette de dégât crucial
zts373e	Amulette d'absorption physique
zts374e	Amulette d'absorption magique
zts375e	Amulette d'absorption d'attaques à distance
zts376e	Amulette d'absorption de toute attaque
zts377e	Amulette de bloque physique
zts378e	Amulette de bloque magique
zts379e	Amulette de blocage d'attaque à distance
zts380e	Ruban
zts381e	Semble protéger la tête. [n][n]
zts382e	Chapeau doux
zts383e	Il s'agit d'un chapeau tout doux.[n][n]
zts384e	Feuilles pour déguisement
zts385e	Mais ne semble pas très utile [n][n]
zts386e	Protection auditive aux mandragores
zts387e	Serre bien les oreilles[n]Son utilisation protège, selon une certaine probabilité, du cri de mandragore.[n][n]
zts388e	Chapeau hippopotame
zts389e	Ce chapeau hippopotame est très doux.[n]Il te protège avec une forte probabilité contre les syncopes.[n][n]
zts390e	Fortes lunettes élégantes
zts391e	Masque de Kovolt
zts392e	Ce masque te donne l'apparence d'un Kovolt.[n]Si tu attaques un mineur kovolt, aucun autre Kovolt ne viendra t'attaquer.[n][n]
zts393e	Chapeau à ramure
zts394e	Augmente les HP[n]Son utilisation te protège, selon une certaine probabilité, du cri de mandragore.[n][n]
zts395e	Chapeau ventouse
zts396e	Ruban
zts397e	Évite les saignement avec une forte probabilité.[n][n]
zts398e	Antennes
zts399e	Bandeau de l'oracle
zts400e	Chapeau poisson polisson
zts401e	Chapeau bonnet vertex
zts402e	Corne de kérabau
zts403e	Lunettes rectangulaires
zts404e	Masque clignotant
zts405e	Masque de chauve-souris
zts406e	Monocle
zts407e	Masque X
zts408e	Barbe et maquillage
zts409e	Amulette pour bloquer tous les coups
zts410e	Amulette de l'élément Feu
zts411e	Amulette de l'élément Eau
zts412e	Amulette pour augmenter l´énergie de la lumière
zts413e	Amulette de l'élément Obscurité
zts414e	Amulette de renforcement de l'énergie obscure
zts415e	Petit poussin
zts417e	Poussin bébé
zts418e	Poule
zts419e	Amulette de protection de pari (arme)
zts420e	Si tu portes cette amulette en perdant un pari, tu perdras juste l'amulette au lieu de perdre ton arme.[n](L'objet est utilisable jusqu'à 3 fois.)[n][n]
zts421e	Amulette de protection de pari (équipement)
zts422e	Si tu portes cette amulette en perdant un pari, tu perdras juste l'amulette au lieu de perdre ton armure.[n](L'objet est utilisable jusqu'à 3 fois.)[n][n]
zts423e	Amulette de hausse du niveau de rareté
zts424e	Porte cet objet, au moment des paris, pour obtenir 1 niveau de rareté en plus.[n](Sans échec)[n][n]
zts425e	Amulette de renforcement du niveau fixe de l'arme
zts426e	Si tu gardes cet objet, tu peux renforcer ton arme à niveau fixe,[n]mais le renforcement se fera au taux ordinaire.[n]Tu peux récupérer le niveau fixe.[n]Si le renforcement réussit, le niveau sera débloqué.[n]S'il échoue, l'objet peut disparaître.[n]Alors, fais bien attention ![n](L'objet peut être utilisé 2 fois.)[n][n]
zts427e	Amulette de renforcement d'armure
zts428e	Si tu gardes cet objet, tu peux renforcer ton équipement à niveau fixe,[n]mais le renforcement se fera au taux ordinaire.[n]Tu peux récupérer le niveau fixe.[n]Si le renforcement réussit, le niveau sera débloqué.[n]S'il échoue, l'objet peut disparaître.[n]Alors, fais bien attention ![n](L'objet peut être utilisé 2 fois.)[n][n]
zts429e	Épée du chevalier Elvin
zts430e	Cette épée est enveloppée d'une aura sacrée.[n][n]
zts431e	Glorieux
zts432e	Rempli de pouvoir spirituel [n] et équipé de toute énergie et compétence de résistance caractéristique [n][n]
zts433e	Épée élémentaire brisée
zts434e	L'attaque causée par cette épée diminue[n]la résistance élémentaire de l'adversaire[n]et les dégâts critiques.[n][n]
zts435e	Arc rouge
zts436e	L'attaque rapprochée augmente et la vitalité de ton adversaire est aspirée.[n][n]
zts437e	Paix verte
zts438e	Reçoit  le pouvoir de la nature, et cré un fort pouvoir [n][n]
zts439e	Arc majestueux
zts440e	Les éléments protègent le détenteur de cette arme contre les dégâts provoqués par attaque magique.[n][n]
zts441e	Baguette magique légendaire
zts442e	Ce bâton magique est devenu légendaire grâce à son ancien propriétaire qui maîtrisait la puissance du Feu et dérobait l'âme de ses opposants.[n][n]
zts443e	Bâton magique du fantôme
zts444e	Le bâton est caché, augmente le caractéristique du propriétaire et baisse la résistance de l´ennemi
zts445e	Baguette magique majestueuse
zts446e	Les héros pleins de sagesse portent cette arme pour se protéger.[n][n]
zts447e	Robe de sage bleue
zts448e	Robe d'essai
zts449e	Chéri
zts450e	Ce gentil animal de compagnie renforce le pouvoir d'attaque de 30% lorsqu'un élément de la lumière est utilisé.[n][n]
zts451e	Sellaim
zts452e	La fée du Feu grandit jusqu'au niveau 70.[n]Cet objet n'est pas négociable entre joueurs ![n][n]
zts453e	Woondine
zts454e	La fée de l'Eau grandit jusqu'au niveau 70.[n]Cet objet n'est pas négociable entre joueurs ![n][n]
zts455e	Eperial
zts456e	La fée de la Lumière grandit jusqu'au niveau 70.[n]Cet objet n'est pas négociable entre joueurs ![n][n]
zts457e	Turik
zts458e	La fée de l'Obscurité grandit jusqu'au niveau 70.[n]Cet objet n'est pas négociable entre joueurs ![n][n]
zts459e	Grande Sellaim
zts460e	Grande Woondine
zts461e	Grande Eperial
zts462e	Grande Turik
zts463e	Amulette de la bénédiction
zts465e	Amulette de la protection
zts467e	Amulette de renforcement
zts468e	Peut renforcer de l'équipement à un niveau fixé.[n]Ne protège pas de la destruction et nécessite un parchemin protecteur d'équipement. S'utilise habituellement pour les armes et l'équipement[n](peut être utilisé 3 fois).[n]
zts469e	Perle de familier
zts470e	Cet objet te permet de placer[n]ton NosMate dans une perle[n]que tu pourras conserver dans[n]ton inventaire ou ton entrepôt.[n]Tu peux échanger avec[n]d'autres joueurs les NosMates[n]déposés dans une perle.[n][n]Comment faire :[n]Sélectionne ton NosMate et fais un[n]double-clic sur la perle.[n][n]Attention :[n]En entreposant un NosMate dans[n]cette perle, il perdra son nom.[n]Si ton NosMate a un niveau plus élevé[n] que le tien, tu pourras le libérer[n]dans ton Mini-pays, mais pas l'emmener[n]avec toi en mission.[n][n]
zts471e	Perle de partenaire
zts472e	Cet objet te permet de placer[n]ton partenaire dans une perle[n]que tu pourras conserver dans[n]ton inventaire ou ton entrepôt.[n]Tu peux échanger avec[n]d'autres joueurs les partenaires[n]déposés dans une perle.[n][n]Comment faire :[n]Sélectionne ton partenaire et fais un[n]double-clic sur la perle.[n][n]Attention :[n]En entreposant un partenaire dans[n]cette perle, il perdra son nom.[n]Si ton partenaire a un niveau plus élevé[n] que le tien, tu pourras le libérer[n]dans ton Mini-pays, mais pas l'emmener[n]avec toi en mission.[n][n]
zts473e	Boîte à carte de spécialiste
zts474e	Cette boîte sert à conserver une carte de spécialiste.[n]Cet objet peut être échangé entre joueurs. [n][Mode d'emploi][n]Équipe-toi d'abord d'une carte de spécialiste.[n]Double-clique sur la boîte pour te défaire de la carte de spécialiste et la placer à l'intérieur.[n]Pour la ressortir, double-clique de nouveau sur la boîte.[n][Remarque][n]Si la carte de spécialiste a encore des points de compétence non attribués, tu dois les répartir avant de pouvoir glisser la carte dans ta boîte.[n]La boîte disparaît quand tu en ressors la carte de spécialiste.[n][n]
zts475e	Amulette pour célébrer l'ouverture de NosMall
zts476e	Scrammer
zts477e	Kriss
zts478e	Arbalète Winslet
zts479e	Arbalète Balenty
zts480e	Arme de charme Plaz
zts481e	Arme de charme rai
zts482e	Regard du gardien
zts483e	Marche de brise
zts484e	Défenseur brave
zts485e	Défenseur splendide
zts486e	Crasher
zts487e	Pouvoir de dégât fort est caché  [n][n]
zts488e	Force perçante
zts489e	Montre un gros pouvoir chez des espèces spéciales [n][n]
zts490e	Baguette magique de Kai
zts491e	Porté par des magiciens excellents [n][n]
zts492e	Boîte de raid
zts493e	Que peut bien recéler ce coffre ?[n]Pour le savoir, double-clique dessus et ouvre-le.[n]Si tu obtiens un objet d'équipement, celui-ci aura le même niveau de rareté que le coffre.[n][n]
zts494e	Collier à Oriharcon ancestral
zts495e	Collier à Oriharcon précieux
zts496e	Bague d'orichalque ancestrale
zts497e	Bague à Oriharcon précieuse
zts498e	Bracelet à Oriharcon ancestral
zts499e	Bracelet à Oriharcon précieux
zts500e	Collier en cristal antique
zts501e	Ancienne bague en cristal
zts502e	Bracelet en cristal antique
zts503e	Collier à diamant antique
zts504e	Ancienne bague à diamant
zts505e	Bracelet à diamant antique
zts506e	Gant de flamme
zts507e	Gant de tempête
zts508e	Gant divin
zts509e	Gant de mort
zts510e	Chaussures de feu
zts511e	Chaussures de vague
zts512e	Chaussures d´eclat
zts513e	Chaussures de l'Obscurité
zts514e	Anneau rouge de Radal
zts515e	Unes des choses que Radal appréciait quand il était vivant. [n] Sera utilisé pour mission importante. [n][n]
zts516e	Anneau bleu de Radal
zts517e	Gants indissolubles
zts518e	Ces gants sont résistants à l'acide et ne peuvent pas s'oxyder.[n][n]
zts519e	Simple collier en or
zts520e	Collier en or affiné
zts521e	Bague en or blanc
zts522e	Bracelet de mode
zts523e	Collier de Mano
zts524e	Bague de Mano
zts525e	Bracelet de Mano
zts526e	Bon collier de Mano
zts527e	Bonne bague de Mano
zts528e	Bon bracelet de Mano
zts529e	Bracelet luxueux de Mano
zts530e	Collier oeil de chat
zts531e	Bague oeil de chat
